2013-04-27 22:43:31 install libgcc1 <none> 1:4.4.5-8
2013-04-27 22:43:31 status half-installed libgcc1 1:4.4.5-8
2013-04-27 22:43:31 status unpacked libgcc1 1:4.4.5-8
2013-04-27 22:43:31 status unpacked libgcc1 1:4.4.5-8
2013-04-27 22:43:31 install libstdc++6 <none> 4.4.5-8
2013-04-27 22:43:31 status half-installed libstdc++6 4.4.5-8
2013-04-27 22:43:31 status unpacked libstdc++6 4.4.5-8
2013-04-27 22:43:31 status unpacked libstdc++6 4.4.5-8
2013-04-27 22:43:32 install grep <none> 2.6.3-3
2013-04-27 22:43:32 status half-installed grep 2.6.3-3
2013-04-27 22:43:32 status unpacked grep 2.6.3-3
2013-04-27 22:43:32 status unpacked grep 2.6.3-3
2013-04-27 22:43:32 install gzip <none> 1.3.12-9+squeeze1
2013-04-27 22:43:32 status half-installed gzip 1.3.12-9+squeeze1
2013-04-27 22:43:32 status unpacked gzip 1.3.12-9+squeeze1
2013-04-27 22:43:32 status unpacked gzip 1.3.12-9+squeeze1
2013-04-27 22:43:33 install hostname <none> 3.04
2013-04-27 22:43:33 status half-installed hostname 3.04
2013-04-27 22:43:33 status unpacked hostname 3.04
2013-04-27 22:43:33 status unpacked hostname 3.04
2013-04-27 22:43:33 install insserv <none> 1.14.0-2
2013-04-27 22:43:33 status half-installed insserv 1.14.0-2
2013-04-27 22:43:33 status unpacked insserv 1.14.0-2
2013-04-27 22:43:33 status unpacked insserv 1.14.0-2
2013-04-27 22:43:33 install lsb-base <none> 3.2-23.2squeeze1
2013-04-27 22:43:33 status half-installed lsb-base 3.2-23.2squeeze1
2013-04-27 22:43:33 status unpacked lsb-base 3.2-23.2squeeze1
2013-04-27 22:43:34 status unpacked lsb-base 3.2-23.2squeeze1
2013-04-27 22:43:34 install liblocale-gettext-perl <none> 1.05-6
2013-04-27 22:43:34 status half-installed liblocale-gettext-perl 1.05-6
2013-04-27 22:43:34 status unpacked liblocale-gettext-perl 1.05-6
2013-04-27 22:43:34 status unpacked liblocale-gettext-perl 1.05-6
2013-04-27 22:43:34 install libselinux1 <none> 2.0.96-1
2013-04-27 22:43:34 status half-installed libselinux1 2.0.96-1
2013-04-27 22:43:35 status unpacked libselinux1 2.0.96-1
2013-04-27 22:43:35 status unpacked libselinux1 2.0.96-1
2013-04-27 22:43:35 install libsepol1 <none> 2.0.41-1
2013-04-27 22:43:35 status half-installed libsepol1 2.0.41-1
2013-04-27 22:43:35 status unpacked libsepol1 2.0.41-1
2013-04-27 22:43:35 status unpacked libsepol1 2.0.41-1
2013-04-27 22:43:35 install libtext-charwidth-perl <none> 0.04-6
2013-04-27 22:43:35 status half-installed libtext-charwidth-perl 0.04-6
2013-04-27 22:43:35 status unpacked libtext-charwidth-perl 0.04-6
2013-04-27 22:43:35 status unpacked libtext-charwidth-perl 0.04-6
2013-04-27 22:43:36 install libtext-iconv-perl <none> 1.7-2
2013-04-27 22:43:36 status half-installed libtext-iconv-perl 1.7-2
2013-04-27 22:43:36 status unpacked libtext-iconv-perl 1.7-2
2013-04-27 22:43:36 status unpacked libtext-iconv-perl 1.7-2
2013-04-27 22:43:36 install libtext-wrapi18n-perl <none> 0.06-7
2013-04-27 22:43:36 status half-installed libtext-wrapi18n-perl 0.06-7
2013-04-27 22:43:36 status unpacked libtext-wrapi18n-perl 0.06-7
2013-04-27 22:43:36 status unpacked libtext-wrapi18n-perl 0.06-7
2013-04-27 22:43:36 upgrade mawk 1.3.3-15 1.3.3-15
2013-04-27 22:43:36 status half-configured mawk 1.3.3-15
2013-04-27 22:43:36 status unpacked mawk 1.3.3-15
2013-04-27 22:43:36 status half-installed mawk 1.3.3-15
2013-04-27 22:43:37 status half-installed mawk 1.3.3-15
2013-04-27 22:43:37 status unpacked mawk 1.3.3-15
2013-04-27 22:43:37 status unpacked mawk 1.3.3-15
2013-04-27 22:43:37 install libncurses5 <none> 5.7+20100313-5
2013-04-27 22:43:37 status half-installed libncurses5 5.7+20100313-5
2013-04-27 22:43:37 status unpacked libncurses5 5.7+20100313-5
2013-04-27 22:43:37 status unpacked libncurses5 5.7+20100313-5
2013-04-27 22:43:37 install ncurses-base <none> 5.7+20100313-5
2013-04-27 22:43:37 status half-installed ncurses-base 5.7+20100313-5
2013-04-27 22:43:38 status unpacked ncurses-base 5.7+20100313-5
2013-04-27 22:43:38 status unpacked ncurses-base 5.7+20100313-5
2013-04-27 22:43:38 install ncurses-bin <none> 5.7+20100313-5
2013-04-27 22:43:38 status half-installed ncurses-bin 5.7+20100313-5
2013-04-27 22:43:38 status unpacked ncurses-bin 5.7+20100313-5
2013-04-27 22:43:38 status unpacked ncurses-bin 5.7+20100313-5
2013-04-27 22:43:39 install libpam-modules <none> 1.1.1-6.1+squeeze1
2013-04-27 22:43:39 status half-installed libpam-modules 1.1.1-6.1+squeeze1
2013-04-27 22:43:39 status unpacked libpam-modules 1.1.1-6.1+squeeze1
2013-04-27 22:43:39 status unpacked libpam-modules 1.1.1-6.1+squeeze1
2013-04-27 22:43:40 install libpam-runtime <none> 1.1.1-6.1+squeeze1
2013-04-27 22:43:40 status half-installed libpam-runtime 1.1.1-6.1+squeeze1
2013-04-27 22:43:40 status unpacked libpam-runtime 1.1.1-6.1+squeeze1
2013-04-27 22:43:40 status unpacked libpam-runtime 1.1.1-6.1+squeeze1
2013-04-27 22:43:41 install libpam0g <none> 1.1.1-6.1+squeeze1
2013-04-27 22:43:41 status half-installed libpam0g 1.1.1-6.1+squeeze1
2013-04-27 22:43:41 status unpacked libpam0g 1.1.1-6.1+squeeze1
2013-04-27 22:43:41 status unpacked libpam0g 1.1.1-6.1+squeeze1
2013-04-27 22:43:41 upgrade perl-base 5.10.1-17squeeze5 5.10.1-17squeeze5
2013-04-27 22:43:41 status half-configured perl-base 5.10.1-17squeeze5
2013-04-27 22:43:41 status unpacked perl-base 5.10.1-17squeeze5
2013-04-27 22:43:41 status half-installed perl-base 5.10.1-17squeeze5
2013-04-27 22:43:42 status half-installed perl-base 5.10.1-17squeeze5
2013-04-27 22:43:42 status unpacked perl-base 5.10.1-17squeeze5
2013-04-27 22:43:42 status unpacked perl-base 5.10.1-17squeeze5
2013-04-27 22:43:42 install sed <none> 4.2.1-7
2013-04-27 22:43:42 status half-installed sed 4.2.1-7
2013-04-27 22:43:42 status unpacked sed 4.2.1-7
2013-04-27 22:43:42 status unpacked sed 4.2.1-7
2013-04-27 22:43:43 install sensible-utils <none> 0.0.4
2013-04-27 22:43:43 status half-installed sensible-utils 0.0.4
2013-04-27 22:43:43 status unpacked sensible-utils 0.0.4
2013-04-27 22:43:43 status unpacked sensible-utils 0.0.4
2013-04-27 22:43:43 install login <none> 1:4.1.4.2+svn3283-2+squeeze1
